"employee_id";"salary_id";"name";"department"
"1";"1";"Frederico Santos";"Mercearia"
"2";"2";"Alessandra Nogueira Filho";"Livros"
"3";"3";"Dalila Xavier Neto";"Música"
"4";"4";"Davi Reis";"Jardim"
"5";"5";"Warley Reis Jr.";"Música"
"6";"6";"Srta. Maria Luiza Melo";"Eletrônicos"
"7";"7";"Ricardo Batista";"Beleza"
"8";"8";"Srta. Melissa Xavier";"Crianças"
"9";"9";"Kléber Reis";"Crianças"
"10";"10";"Silas Silva";"Sapatos"
"11";"11";"Melissa Souza";"Roupas"
"12";"12";"João Batista";"Jogos"
"13";"13";"Roberto Souza";"Jardim"
"14";"14";"Helena Saraiva";"Jogos"
"15";"15";"Heloísa Martins";"Bebê"
"16";"16";"Maria Cecília Costa";"Ferramentas"
"17";"17";"Isabela Carvalho";"Automotivo"
"18";"18";"Lorenzo Moraes";"Jóias"
"19";"19";"Rafael Saraiva";"Jóias"
"20";"20";"Emanuelly Barros";"Livros"
"21";"21";"Leonardo Melo";"Automotivo"
"22";"22";"Sra. Emanuelly Melo";"Automotivo"
"23";"23";"Marina Costa Neto";"Jardim"
"24";"24";"Liz Silva";"Bebê"
"25";"25";"Lívia Nogueira";"Beleza"
"26";"26";"Júlia Reis";"Industrial"
"27";"27";"Henrique Melo";"Eletrônicos"
"28";"28";"Maria Cecília Franco";"Música"
"29";"29";"Sophia Moraes";"Casa"
"30";"30";"Larissa Costa";"Industrial"
"31";"31";"Dr. Marcelo Macedo";"Mercearia"
"32";"32";"Vitória Albuquerque";"Jardim"
"33";"33";"Isabela Martins";"Esportes"
"34";"34";"Fabiano Melo Neto";"Automotivo"
"35";"35";"Ofélia Oliveira";"Livros"
"36";"36";"Vitória Silva";"Eletrônicos"
"37";"37";"Dra. Antonella Macedo";"Computadores"
"38";"38";"Frederico Barros";"Automotivo"
"39";"39";"Carla Braga Jr.";"Eletrônicos"
"40";"40";"Ricardo Costa";"Filmes"
"41";"41";"Cauã Melo";"Jogos"
"42";"42";"João Miguel Costa";"Jardim"
"43";"43";"Yuri Macedo";"Computadores"
"44";"44";"Lorena Souza";"Beleza"
"45";"45";"Isis Batista";"Jogos"
"46";"46";"Eloá Barros";"Música"
"47";"47";"Sr. Frederico Nogueira";"Crianças"
"48";"48";"Silas Macedo";"Roupas"
"49";"49";"Lorena Melo";"Mercearia"
"50";"50";"Isabela Saraiva";"Ferramentas"
"51";"51";"Mariana Carvalho";"Computadores"
"52";"52";"Talita Barros";"Jóias"
"53";"53";"Eduarda Melo";"Saúde"
"54";"54";"Sophia Nogueira";"Casa"
"55";"55";"Víctor Batista";"Industrial"
